Rank	Feature name	p-value	q-value	Direction	FeatureSum (%)	T2D metformin+ vs T2D metformin- q-value	ND CTRL vs T2D metformin- q-value	Superkingdom	Phylum	Class	Order	Family	Genus	Species
25	Cluster1609	0.000806622	0.011163653	NoDiab = DT2 > Metf	0.189660865	0.041706809	0.592692742	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus lactaris
151	motu_linkage_group_568	0.15039771	0.344619918	DT2 = NoDiab = Metf	0.011620176	0.447547069	0.592812	Bacteria	?	?	?	?	?	?
113	motu_linkage_group_562	0.06730482	0.206083786	DT2 = NoDiab>= Metf	0.01529006	0.396497134	0.596786965	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	?	?	?
100	motu_linkage_group_301	0.052243901	0.180763898	Metf > NoDiab = DT2	0.160652271	0.597095492	0.597095492	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	?
119	motu_linkage_group_164	0.077087403	0.224136482	Metf>= NoDiab = DT2	0.293437103	0.601820894	0.601820894	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	?
47	motu_linkage_group_456	0.006652324	0.048972424	Metf>> NoDiab = DT2	0.201647909	0.653921856	0.653921856	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillibacter	?
154	Cluster1594	0.155476635	0.349317634	Metf = NoDiab = DT2	0.104395909	0.277181505	0.676773778	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	Coprococcus catus
129	motu_linkage_group_510	0.09922438	0.26613671	NoDiab = Metf = DT2	0.146802934	0.320005309	0.679406162	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii
131	Cluster1627	0.104350967	0.275614004	NoDiab = Metf = DT2	1.217653968	0.683830386	0.683830386	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium eligens
132	motu_linkage_group_135	0.105704382	0.277073606	NoDiab>= Metf = DT2	0.500934358	0.719328185	0.719328185	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	?	?	?
71	motu_linkage_group_407	0.020969973	0.1021917	NoDiab > Metf = DT2	0.154353918	0.203674844	0.720779779	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii
68	motu_linkage_group_498	0.018729975	0.09530252	Metf > NoDiab = DT2	0.066004582	0.096592693	0.723062007	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	?	?	?
133	motu_linkage_group_317	0.106544809	0.277176721	DT2 = NoDiab>= Metf	0.075503277	0.577061163	0.73103104	Bacteria	Firmicutes	?	?	?	?	?
97	motu_linkage_group_217	0.050026037	0.177327082	Metf > NoDiab = DT2	0.164333199	0.226220814	0.735024314	Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
115	Cluster1267	0.069749513	0.209855057	Metf>= NoDiab = DT2	0.077390764	0.201542789	0.747481658	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megasphaera	Megasphaera elsdenii
64	motu_linkage_group_491	0.015414591	0.083335131	Metf > NoDiab = DT2	0.034789778	0.084026471	0.764279567	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	?
85	motu_linkage_group_252	0.039275183	0.156750557	DT2 = Metf > NoDiab	0.045373372	0.40139557	0.772369994	Bacteria	Firmicutes	?	?	?	?	?
43	Cluster1261	0.006257461	0.048964783	NoDiab = DT2 = Metf	0.074597152	0.108540981	0.773038327	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella	Veillonella parvula
141	Cluster1095	0.128050787	0.314223916	Metf = NoDiab = DT2	0.166681945	0.337570859	0.773250253	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides finegoldii
1	Cluster390	1.11E-16	3.84E-14	Metf>>>NoDiab = DT2	1.073152498	0.000217694	0.789818559	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia	Escherichia coli
156	Cluster1092	0.157710269	0.349793289	Metf = NoDiab = DT2	0.933068796	0.313902096	0.79845536	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides thetaiotaomicron
128	Cluster1605	0.097598552	0.263821086	NoDiab>= Metf = DT2	0.39101421	0.59044621	0.800967965	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	Dorea longicatena
150	motu_linkage_group_342	0.147495573	0.340223122	Metf = NoDiab = DT2	0.042511598	0.81268779	0.804509955	Bacteria	Firmicutes	?	?	?	?	?
66	motu_linkage_group_573	0.017902403	0.093851989	NoDiab > Metf = DT2	0.137905965	0.218204161	0.815559237	Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
145	motu_linkage_group_621	0.134660232	0.320903059	DT2 = NoDiab = Metf	0.182212902	0.173294857	0.825887436	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	?
34	Cluster1608	0.003309642	0.033196062	Metf>> NoDiab = DT2	0.292832099	0.049376008	0.853042905	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	?	[Ruminococcus] torques
13	motu_linkage_group_334	5.42E-05	0.001442664	DT2 = NoDiab>>>Metf	0.085145371	0.051906597	0.895847209	Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
148	Cluster1297	0.141611346	0.331064363	Metf = NoDiab = DT2	0.008935796	0.295605783	0.904428749	Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	Turicibacter	Turicibacter sanguinis
62	Cluster814	0.014644298	0.081724633	Metf>> NoDiab = DT2	0.264494255	0.944410365	0.944410365	Bacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella aerofaciens
166	Cluster1301	0.181087957	0.377448393	Metf = NoDiab = DT2	0.002521654	0.422136102	0.967880064	Bacteria	Firmicutes	Bacilli	Bacillales	?	Gemella	Gemella sanguinis
120	Cluster1597	0.079331673	0.228739657	Metf>= NoDiab = DT2	0.368081191	0.082542053	0.992730487	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium hallii
170	motu_linkage_group_258	0.203823601	0.412724688	NA	0.664816996			Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillibacter	?
171	Cluster399	0.203976652	0.412724688	NA	0.190442228			Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Klebsiella	Klebsiella variicola_pneumoniae
172	Cluster1593	0.210075153	0.422593041	NA	0.345189242			Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	unnamed Clostridium sp. L2-50
173	motu_linkage_group_24	0.213656155	0.426120604	NA	0.142170498			Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister	Dialister invisus
174	Cluster1262	0.214291864	0.426120604	NA	0.025230514			Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella	Veillonella dispar
175	motu_linkage_group_366	0.215823256	0.426157159	NA	0.222843743			Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillibacter	?
176	Cluster1573	0.216773584	0.426157159	NA	0.051163184			Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium leptum
177	Cluster469	0.220090553	0.430233511	NA	0.144685422			Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella	Sutterella wadsworthensis
178	motu_linkage_group_379	0.221683148	0.430912186	NA	0.404385549			Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	?
179	Cluster1579	0.226568141	0.437947355	NA	0.023384442			Bacteria	Firmicutes	Clostridia	Clostridiales	?	Pseudoflavonifractor	Pseudoflavonifractor capillosus
180	Cluster1377	0.233635843	0.449100009	NA	0.188408753			Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus salivarius
181	motu_linkage_group_225	0.240331154	0.458265663	NA	0.567827118			Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	?
182	motu_linkage_group_297	0.241053037	0.458265663	NA	0.31323173			Bacteria	Bacteroidetes	?	?	?	?	?
183	motu_linkage_group_415	0.248383934	0.469622083	NA	0.170488843			Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
184	motu_linkage_group_25	0.250175841	0.470439354	NA	0.100376414			Bacteria	?	?	?	?	?	?
185	Cluster1630	0.252578656	0.47172173	NA	2.434950042			Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium rectale
186	motu_linkage_group_192	0.253584514	0.47172173	NA	0.239968313			Bacteria	?	?	?	?	?	?
187	motu_linkage_group_101	0.260246315	0.481525267	NA	0.070993705			Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
188	motu_linkage_group_517	0.274376969	0.50460621	NA	0.128594155			Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
189	motu_linkage_group_32	0.275637496	0.50460621	NA	0.062321756			Bacteria	Bacteroidetes	?	?	?	?	?
190	motu_linkage_group_585	0.281037815	0.507117201	NA	0.146455221			Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
191	Cluster1618	0.281200594	0.507117201	NA	0.243219905			Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	[Ruminococcus] obeum
192	motu_linkage_group_265	0.281406077	0.507117201	NA	0.334853965			Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	Capnocytophaga sp. oral taxon 329
193	motu_linkage_group_6	0.287659834	0.513760061	NA	0.038166306			Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Odoribacter	Odoribacter splanchnicus
194	motu_linkage_group_281	0.288062	0.513760061	NA	1.018605193			Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	?
195	motu_linkage_group_385	0.290229031	0.514850525	NA	0.112800731			Bacteria	Firmicutes	?	?	?	?	?
196	Cluster1620	0.29164943	0.514850525	NA	1.111951762			Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	unnamed Ruminococcus sp. 5_1_39BFAA
197	motu_linkage_group_7	0.30364845	0.531416867	NA	0.194830833			Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella copri
198	motu_linkage_group_254	0.305012314	0.531416867	NA	0.265729111			Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
199	motu_linkage_group_174	0.309087435	0.531416867	NA	0.05267414			Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	?
200	Cluster1090	0.310328324	0.531416867	NA	0.603490234			Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides fragilis
201	motu_linkage_group_837	0.311209186	0.531416867	NA	0.035283652			Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella	?
202	motu_linkage_group_460	0.311279995	0.531416867	NA	0.091235786			Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
203	motu_linkage_group_362	0.31178504	0.531416867	NA	0.310866936			Bacteria	Firmicutes	Clostridia	?	?	?	?
204	motu_linkage_group_268	0.314090831	0.531426499	NA	0.192377859			Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
205	Cluster1574	0.315521391	0.531426499	NA	0.980314125			Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii
206	motu_linkage_group_430	0.316398436	0.531426499	NA	0.316431726			Bacteria	Firmicutes	Clostridia	?	?	?	?
207	Cluster1629	0.332608454	0.554268734	NA	0.173617743			Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium ventriosum
208	motu_linkage_group_520	0.333202014	0.554268734	NA	0.199891052			Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
209	motu_linkage_group_253	0.335150514	0.554842478	NA	0.14395324			Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
210	motu_linkage_group_551	0.361762985	0.594690579	NA	0.303954606			Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
211	motu_linkage_group_496	0.363741684	0.594690579	NA	0.095636471			Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	?
212	Cluster1259	0.366571498	0.594690579	NA	0.839630597			Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister	Dialister invisus
213	motu_linkage_group_47	0.367135667	0.594690579	NA	0.056419261			Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
214	motu_linkage_group_485	0.367983732	0.594690579	NA	0.134653855			Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	?
215	motu_linkage_group_324	0.369533163	0.594690579	NA	0.020484187			Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Odoribacter	Odoribacter splanchnicus
216	motu_linkage_group_51	0.374151638	0.599335494	NA	0.039418418			Bacteria	Firmicutes	?	?	?	?	?
217	Cluster1052	0.382066006	0.608413786	NA	0.338633771			Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes shahii
218	Cluster1580	0.383495545	0.608413786	NA	0.027069166			Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	?	unnamed Ruminococcaceae bacterium D16
219	Cluster1107	0.385094275	0.608413786	NA	0.591608626			Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides coprocola
220	Cluster1097	0.389908302	0.613219421	NA	0.490812886			Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides eggerthii
221	motu_linkage_group_588	0.395680849	0.618059641	NA	0.340852578			Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	?
222	motu_linkage_group_678	0.396558498	0.618059641	NA	0.031885726			Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
223	motu_linkage_group_195	0.400511345	0.62142119	NA	0.039924371			Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	?	?	?
224	Cluster92	0.433798775	0.670064179	NA	0.214970068			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter smithii
225	motu_linkage_group_191	0.446483385	0.686195914	NA	0.158488339			Bacteria	?	?	?	?	?	?
226	motu_linkage_group_701	0.450239266	0.686195914	NA	0.020956835			Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
227	motu_linkage_group_507	0.451248712	0.686195914	NA	0.057320727			Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	?
228	Cluster1398	0.452175342	0.686195914	NA	0.003739771			Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus gordonii
229	motu_linkage_group_398	0.458705098	0.693065345	NA	0.050464479			Bacteria	Firmicutes	?	?	?	?	?
230	motu_linkage_group_320	0.472627956	0.710996837	NA	0.19168088			Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
231	motu_linkage_group_176	0.483488297	0.71576868	NA	0.472834995			Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	?	?
232	motu_linkage_group_349	0.485780104	0.71576868	NA	0.268440238			Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
233	Cluster1096	0.490953582	0.71576868	NA	0.56977017			Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides caccae
234	Cluster1569	0.491680494	0.71576868	NA	1.762002598			Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus bromii
235	Cluster1054	0.491865722	0.71576868	NA	1.397424767			Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes putredinis
236	motu_linkage_group_63	0.492585406	0.71576868	NA	0.278174998			Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	?	?	?
237	Cluster1633	0.494499077	0.71576868	NA	0.237649593			Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia hominis
238	motu_linkage_group_282	0.496031546	0.71576868	NA	0.251550525			Bacteria	Firmicutes	?	?	?	?	?
239	Cluster1622	0.496686795	0.71576868	NA	0.005827258			Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia hydrogenotrophica
240	Cluster1421	0.49701385	0.71576868	NA	0.041326785			Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus parasanguinis
241	motu_linkage_group_651	0.498555641	0.71576868	NA	0.075730541			Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
242	motu_linkage_group_439	0.504026432	0.720632833	NA	0.081304995			Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	?	?
243	Cluster1606	0.510679378	0.727140184	NA	0.010199816			Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	?	Clostridium scindens
244	motu_linkage_group_636	0.51563468	0.729728347	NA	0.063704326			Bacteria	Firmicutes	Clostridia	Clostridiales	Oscillospiraceae	?	?
245	motu_linkage_group_293	0.51734209	0.729728347	NA	0.095552088			Bacteria	Firmicutes	?	?	?	?	?
246	motu_linkage_group_179	0.518824201	0.729728347	NA	0.026430685			Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	?	?	?
247	Cluster1612	0.523811271	0.733759918	NA	0.013038811			Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	?	unnamed Lachnospiraceae bacterium 1_4_56FAA
248	motu_linkage_group_284	0.531007757	0.740841468	NA	0.608773058			Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	?	?
249	Cluster972	0.538316938	0.748022733	NA	0.377615607			Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium adolescentis
250	motu_linkage_group_228	0.542549871	0.750889021	NA	0.100904973			Bacteria	?	?	?	?	?	?
251	motu_linkage_group_448	0.552234464	0.759668142	NA	0.061074993			Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	?
252	motu_linkage_group_72	0.55649674	0.759668142	NA	0.111617298			Bacteria	?	?	?	?	?	?
253	motu_linkage_group_288	0.557315913	0.759668142	NA	0.410480969			Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
254	motu_linkage_group_703	0.557675457	0.759668142	NA	0.017885225			Bacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	?	?
255	motu_linkage_group_234	0.569699127	0.768307561	NA	0.083556244			Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	?
256	motu_linkage_group_168	0.570205884	0.768307561	NA	0.644183198			Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella copri
257	motu_linkage_group_509	0.570679315	0.768307561	NA	0.058640311			Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	?
258	motu_linkage_group_458	0.57740301	0.774346672	NA	0.041070185			Bacteria	Firmicutes	?	?	?	?	?
259	motu_linkage_group_474	0.583155022	0.779041072	NA	0.086369701			Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	?	?	?
260	motu_linkage_group_502	0.58923154	0.781245844	NA	0.248006095			Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
261	motu_linkage_group_224	0.589321287	0.781245844	NA	0.206519517			Bacteria	Firmicutes	Clostridia	?	?	?	?
262	motu_linkage_group_182	0.591619722	0.781299328	NA	0.115026095			Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister	Dialister invisus
263	Cluster1614	0.597591297	0.786184748	NA	0.02283138			Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	?	unclassified Lachnospiraceae
264	motu_linkage_group_592	0.613281559	0.803770529	NA	0.074893269			Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
265	motu_linkage_group_634	0.618917533	0.8080961	NA	0.010133552			Bacteria	?	?	?	?	?	?
266	motu_linkage_group_346	0.624918757	0.812864247	NA	0.274923233			Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
267	motu_linkage_group_548	0.630641005	0.81723516	NA	0.05879717			Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	?
268	Cluster1086	0.633911211	0.818407757	NA	0.270656111			Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	unnamed Capnocytophaga sp. oral taxon 329
269	motu_linkage_group_525	0.640167337	0.823412262	NA	0.263524282			Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
270	Cluster1094	0.644288924	0.825644325	NA	0.903748554			Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides ovatus
271	motu_linkage_group_230	0.655427777	0.835555801	NA	0.331856557			Bacteria	Bacteroidetes	?	?	?	?	?
272	motu_linkage_group_218	0.656880105	0.835555801	NA	0.106456821			Bacteria	Firmicutes	?	?	?	?	?
273	Cluster1397	0.659268017	0.835555801	NA	0.002567038			Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sanguinis
274	motu_linkage_group_644	0.666405542	0.841519407	NA	0.106969159			Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
275	Cluster1564	0.677152038	0.849718321	NA	0.595411038			Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium siraeum
276	Cluster1275	0.678705839	0.849718321	NA	0.18851833			Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	?	Eubacterium biforme
277	motu_linkage_group_495	0.680265823	0.849718321	NA	0.039847581			Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	?	?	?
278	motu_linkage_group_431	0.690078685	0.857255377	NA	0.104357082			Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Odoribacter	Odoribacter splanchnicus
279	Cluster1617	0.691255059	0.857255377	NA	0.021644323			Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	?	Blautia hansenii
280	motu_linkage_group_243	0.697369423	0.861749359	NA	0.247344145			Bacteria	Firmicutes	Clostridia	?	?	?	?
281	Cluster1093	0.70557687	0.868788601	NA	1.048040189			Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides xylanisolvens
282	Cluster1099	0.710357628	0.871033239	NA	0.116144472			Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides clarus
283	motu_linkage_group_212	0.712434701	0.871033239	NA	0.261493568			Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
284	Cluster1466	0.716036492	0.872354317	NA	0.066874814			Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus ruminis
285	Cluster1400	0.721142976	0.875492876	NA	0.00379154			Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae
286	motu_linkage_group_376	0.729251683	0.882241547	NA	0.220497585			Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
287	motu_linkage_group_158	0.734849444	0.885664219	NA	0.828418703			Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	?
288	Cluster751	0.73755761	0.885664219	NA	0.057274998			Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio piger
289	Cluster1108	0.739759998	0.885664219	NA	0.066959715			Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides salanitronis
290	Cluster1601	0.744271006	0.887992304	NA	0.013694893			Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium saccharolyticum
291	motu_linkage_group_38	0.749251533	0.890862648	NA	0.062207002			Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	?
292	motu_linkage_group_383	0.759854688	0.898555512	NA	0.235074272			Bacteria	Firmicutes	Clostridia	?	?	?	?
293	Cluster970	0.76181245	0.898555512	NA	0.295495254			Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum
294	motu_linkage_group_289	0.764990256	0.898555512	NA	0.102327922			Bacteria	?	?	?	?	?	?
295	motu_linkage_group_357	0.766109468	0.898555512	NA	0.101991943			Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Akkermansia	Akkermansia muciniphila
296	Cluster973	0.773643104	0.901611327	NA	0.272368448			Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium catenulatum-Bifidobacterium pseudocatenulatum complex
297	motu_linkage_group_3	0.773926486	0.901611327	NA	0.276375345			Bacteria	Firmicutes	?	?	?	?	?
298	motu_linkage_group_341	0.784054679	0.905227771	NA	0.09746615			Bacteria	Firmicutes	Clostridia	?	?	?	?
299	Cluster1415	0.785084936	0.905227771	NA	0.005964273			Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus infantis
300	motu_linkage_group_327	0.787242536	0.905227771	NA	0.218066354			Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
301	motu_linkage_group_386	0.788353767	0.905227771	NA	0.090462362			Bacteria	Firmicutes	?	?	?	?	?
302	Cluster1576	0.79060341	0.905227771	NA	0.845616439			Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii
303	motu_linkage_group_273	0.792728366	0.905227771	NA	0.110225065			Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella	Sutterella wadsworthensis
304	motu_linkage_group_90	0.800811078	0.911449451	NA	0.040345423			Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	?
305	motu_linkage_group_226	0.805805849	0.912884131	NA	0.037372864			Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
306	motu_linkage_group_552	0.807514204	0.912884131	NA	0.223341413			Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
307	motu_linkage_group_122	0.809986787	0.912884131	NA	0.129878019			Bacteria	Firmicutes	Clostridia	?	?	?	?
308	Cluster1103	0.819742092	0.920879104	NA	0.302125445			Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides intestinalis
309	Cluster1115	0.831116086	0.929723475	NA	0.274556883			Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Odoribacter	Odoribacter splanchnicus
